parameter	value
one_scan_shortcut_rejected	audit_one_scan_feature_feasibility.py shows split-pass columns cannot safely replace the separate unique-pass table. HMP airskin sample11 has 32,684/72,486 shared-ref support mismatches (45.090086%) for unique.XnY_ctx vs split.Raw_XnY_ctx; sample6 has 18,910/62,505 mismatches (30.253580%). Therefore the speed fix must be a real dual accumulator, not split-column remapping.
same_stream_exact_split_option	scripts/minco_profile_calibrated.py --same-stream-exact-split asks the initial best-diff-split MinCO pass to also write minco.best_diff_split.exact.unfiltered.tsv through minco ani --readwise-exact-split-out. If universal-auto-exact later fires, the wrapper reuses this sidecar instead of launching a third exact split pass. It is a speed substrate for exact-needed samples, but is not promoted as the no-expertise default because it adds split-pass work even when the exact gate does not fire.
same_stream_exact_split_c_smoke	CAMI II Toy Mouse first50k C smoke: exact sidecar MD5 equals standalone exact and block output MD5 equals standalone block. block+exact sidecar 8.42s/2.4737 GiB versus separate block+exact 10.79s/max 2.4324 GiB.
same_stream_exact_split_sample6	CAMI II Toy Mouse sample6 p16 with --same-stream-exact-split: universal-auto-exact used sidecar; runtime 2:28.51, RSS 4.5020 GiB, F1 0.854749, L1 20.062956 pp, Pearson 0.973755. Old exact default was 4:09.65/3.7416 GiB; Sylph was 1:50.98/18.8135 GiB with F1 0.939086 and L1 11.759075 pp.
exact_split_low_extra_mode_default	skip; universal-auto-exact suppresses exact split rerun when block-mode low-extra split rescue already added candidates. Use --exact-split-low-extra-mode allow to restore the older exact behavior.
exact_split_low_extra_skip_sample6	CAMI II Toy Mouse sample6 p16 current default with low-extra skip: runtime 1:47.90, RSS 3.4335 GiB, auto_exact_split_requested=false, reason=block_low_extra_split_rescue_already_active, F1 0.854749, L1 19.831577 pp, Pearson 0.974331. Calls match exact sidecar on sample6; Sylph remains better accuracy at F1 0.939086 and L1 11.759075 pp.
one_stream_exact_split_rejected	CAMI II Toy Mouse sample6 p16 with --same-stream-readwise-passes --same-stream-exact-split took 3:55.94 and 6.0030 GiB, slower than concurrent sidecar 2:28.51 and low-extra skip 1:47.90, so the one-stream p16 path is not promoted.
plant_current_exactsplit_nonrelease	CAMI II plant-associated holdout samples3-5 cached current exact-split evidence: MinCO mean F1 0.612016, L1 0.822986 pp, Pearson 0.922354; Sylph mean F1 0.599993, L1 1.070001 pp, Pearson 0.611248. This supports the current gate as competitive on plant, but remains nonrelease because it uses cached /tmp exact-split outputs, the plant bacteria-scope scorer, and a Sylph r226/default comparison.
plant_gtdb_transfer_feasibility	CAMI II plant-associated samples3-5 source-abundance to GTDB r232 transfer audit maps only 19.0835%, 20.3716%, and 22.2414% of source abundance to unique GTDB species, using CAMI camitax taxID plus numeric filename taxID fallback. The dominant unmapped mass is no-taxid RNODE sources and genus/family CAMI taxids, so plant cannot be promoted to a release-grade GTDB source-abundance panel from local files.
strain_current_exactsplit_nonrelease	CAMI II strainmadness samples0-2 cached current exact-split evidence: MinCO mean F1 0.628737, L1 0.759779 pp, Pearson 0.823822; Sylph mean F1 0.527374, L1 0.203000 pp, Pearson 0.994006. This supports current exact-split F1 but remains nonrelease because cached /tmp outputs use train12/default-equivalent calibration that includes strainmadness rows, a local scorer, and a Sylph r226/default comparison.
strain_gtdb_transfer_feasibility	CAMI II strainmadness samples0-2 source-abundance to GTDB r232 transfer audit maps only 2.9454%, 0.4775%, and 1.3037% of source abundance to unique GTDB species. Most mass is marked new_strain/new_genus/new_order around broad NCBI taxids, so strainmadness cannot be promoted to release-grade GTDB source-abundance truth from local files.
faster_than_sylph_boundary	MinCO can be faster than Sylph on Toy Mouse sample6 when exact mode is skipped, either with speed-priority --strategy universal (1:48.19) or current universal-auto-exact low-extra skip (1:47.90), but those modes still have lower F1 and abundance accuracy on that sample. Exact sidecar is much faster than the old exact default but slower than Sylph on sample6.
hmp_gastrooral_block_replay_result	HMP gastrooral sample0 replay from cached block split and unique tables with --strategy universal has the same 34 called species as exact rerun but changes calibrated abundance; the two-sample source-abundance L1 is 68.950069 pp versus 48.986991 pp for exact, so dropping exact for speed is rejected on this panel.
hmp_gastrooral_exact_sidecar_sample0	HMP gastrooral sample0 --same-stream-exact-split raw run matches exact-rerun calls and abundance exactly: sidecar_only=0, exact_only=0, abundance abs delta=0. Runtime improves from 4:00.22 and 3.7958 GiB RSS to 2:25.93 and 4.6302 GiB RSS. Chunked r232 Sylph sample0 profile took 3:27.18 and 25.9178 GiB RSS, so sidecar beats Sylph profile time and memory on this exact-needed sample while Sylph still has better panel F1/L1.
hmp_gastrooral_exact_sidecar_policy	The HMP sample0 sidecar result shows exact sidecar can make exact-needed MinCO faster than Sylph without accuracy loss, but Toy Mouse sample6 shows eager sidecar is slower than low-extra skip when exact is not needed. Therefore sidecar remains an explicit/experimental speed substrate until an automatic exact-need predictor can avoid no-exact overhead.
hmp_gastrooral_exact_sidecar_policy_audit	audit_exact_sidecar_policy.py summarizes six available exact-policy instances. Block-feature policy marks three exact candidates and three avoid-exact rows, with no observed avoid-exact contradiction, but the useful block features are only known after the initial pass. HMP sample0 is the only timed exact-candidate sidecar win, Toy Mouse sample6 proves unconditional sidecar overhead (+40.61 s, +1.0685 GiB, +0.231379 L1 pp), and the decision is do_not_promote_auto_sidecar_default_without_preflight.
hmp_gastrooral_prefix_preflight_audit	audit_exact_preflight_policy.py tests first50k and first200k HMP gastrooral sample0/sample6 prefix-read block-only profiles as a cheap exact-sidecar preflight. Raw prefix policy has 2 mismatches in 4 preflights, while a support-aware policy with joined_base_n>=10 and raw_unique95_n>=10 makes 0 decisive calls because all prefixes are too sparse. Decision=reject_prefix_preflight_default.
runtime_readiness_gate	build_runtime_readiness.py compares timed current-default and opt-in exact-sidecar MinCO rows against Sylph using existing /usr/bin/time -v summaries. Current default faster-than-Sylph cases=1/3 and lower-memory cases=3/3 in the formal runtime table; opt-in sidecar faster-than-Sylph cases=1/2 and lower-memory cases=2/2. Later same-release HMP airskin raw-read timings through sample19 are mixed: sample22 and sample13 are MinCO speed wins versus Sylph sketch+profile, sample21 is roughly tied/slower, and most other completed airskin samples including sample19 are slower while keeping a large memory advantage. Sample19 MinCO took 3:37.65 and 4,044,720 kB RSS; Sylph sketch+profile took 3:13.38 and max 27,232,320 kB RSS. Decision=do not claim the current default is generally faster than Sylph yet, but do report lower-memory behavior and distinguish profile-only from sketch+profile timing.
block_exact_split_semantics	audit_block_exact_split_semantics.py compares cached normal density-block best-diff-split tables with exact per-read best-diff-split tables. Result: not_interchangeable_pairs=3/3 and max shared normalized-abundance absolute delta=0.871858999999, so exact per-read split rows cannot safely replace the normal block split channel.
candidate_restricted_exact_feasibility	audit_candidate_restricted_exact_feasibility.py scans cached HMP sample0 and Toy Mouse sample6 unique/block/exact tables with subset taxmap mapping. Final-called taxids retain only 0.140213-0.154453% of scoped exact rows after full exact scanning, but this is only post-hoc table reduction. A candidate-only exact rerun is not promoted because aggregate per-reference rows lack per-context competitor closure for best-diff assignment.
runtime_speed_next_target	conditional_exact_sidecar_or_lower_cost_dual_channel_processing; preserve current universal-auto-exact accuracy while removing exact-rerun latency in exact-needed samples without paying eager sidecar overhead in no-exact samples. The rejected shortcut is synthesizing block split evidence from exact per-read rows.
abundance_error_decomposition_rule	Decompose abundance L1 into matched true-positive absolute error, missing truth mass, and extra predicted mass after applying the same GTDB truth transfer and prediction mapping as the official scorers. Validate TP/FP/FN, F1, L1, and Pearson against official score TSVs before interpreting components.
abundance_error_decomposition_result	Toy Mouse MinCO-Sylph L1 gap +6.888988 pp is dominated by matched-TP allocation (+5.481572 pp). Expanded HMP airskin samples0/1/3/4/5/6/7/9/10/11/13/14/15/16/17/18/19/20/21/22/23/24/25/28 gap +17.181781 pp is dominated by matched-TP allocation (+11.310500 pp), with extra predicted mass +4.921452 pp and missing truth mass +0.949829 pp. CAMI3 source-readmap gap +30.099188 pp is dominated by missing truth mass (+19.641662 pp) despite higher MinCO pooled F1. This makes mass-allocation and high-abundance FN rescue the next accuracy targets.
cross_panel_abundance_variant_rule	Hold calibrated calls fixed and sweep abundance raw formulas across Toy Mouse samples5-7, HMP airskin samples0/1/3/4/5/6/7/9/10/11/13/14/15/16/17/18/19/20/21/22/23/24/25/28, HMP gastrooral samples0/6, and CAMI3 source-readmap samples0-2. Toy Mouse uses max per GTDB species and truth-only L1; HMP/CAMI3 use sum per GTDB species and union L1. Current abundance must reproduce official scores before evaluating variants. Genus-local candidates use profile_species_name so they are wrapper-implementable.
cross_panel_abundance_variant_result	No fixed-call formula is safe enough to replace current calibrated abundance after adding HMP airskin sample19. Current calibrated abundance has mean official L1 37.006346 pp across 32 samples. The best panel-mean diagnostic variant is genus_realloc_xny with mean official L1 36.291143 pp, but it worsens one panel by 1.218914 pp and the safety audit still finds zero nontrivial sample-safe variants. Wrapper-realistic candidates require leave-one-panel-out validation and independent holdout before promotion. Current calibrated abundance remains the stable default.
abundance_variant_safety_audit	summarize_abundance_variant_safety.py excludes trivial current-abundance equivalents and audits 136 nontrivial fixed-call variants across 32 evaluated samples. Strict sample-safe variants=0 and strict panel-safe variants=6; best sample-mean variant genus_realloc_xny worsens 9 samples, and best panel-mean variant genus_realloc_xny worsens 1 panel. Reject fixed-call abundance replacement.
adaptive_abundance_switch_audit	audit_adaptive_abundance_switch.py tests 4,608 simple output-feature threshold switches over the top 12 fixed-call abundance variants, with 4,596 nontrivial switches. In-sample there are 481 strict sample-safe and 2,039 strict panel-safe switches; leave-one-panel-out validation improves 3 held-out panels and worsens 1, with mean delta -0.737243 pp. Best panel-mean rule is genus_realloc_xny when breadth_ratio_median >= 1.11111. Decision=reject_as_overfit_by_leave_one_panel_out; current calibrated abundance remains default.
cross_panel_call_filter_rule	Start from current calibrated calls and test output-only removal filters using profile columns such as calibrated_probability, XnY, breadth, real align fraction, ZIP AF, depth, depth CV, read/block fractions, abundance, and reported ANI. A candidate is promotable only if it improves F1 without sample or panel tradeoffs across Toy Mouse samples5-7, HMP airskin samples0/1/3/4/5/6/7/9/10/11/13/14/15/16/17/18/19/20/21/22/23/24/25/28, HMP gastrooral samples0/6, and CAMI3 source-readmap samples0-2.
cross_panel_call_filter_result	sweep_cross_panel_call_filters.py tested 241 output-only call filters across 4 GTDB panels / 32 samples. Sample-safe F1 filters=0 and panel-safe F1 filters=0. Best mean-F1 filter is drop_prob_lt_0.7_and_breadth_lt_0.2 with mean_delta_F1=+0.027950 and mean_delta_L1_pp=-3.631006, but it worsens 8 samples and 2 panels. HMP airskin alone improves to F1=0.928581, L1=18.130992 pp, Pearson=0.983506, but the filter is not universal. Decision=reject_output_only_call_filter_replacement; current call gate remains default.
adaptive_call_filter_switch_rule	Select the top 12 output-only call filters by mean F1 from the fixed call-filter sweep, then test simple threshold switches using only MinCO output-derived sample features and candidate-filter drop fractions. F1 is primary; L1/Pearson are secondary. Truth is used only for scoring candidate rules. Leave-one-panel-out validation holds out Toy Mouse, HMP airskin, HMP gastrooral, or CAMI3 source-readmap panels in turn.
adaptive_call_filter_switch_result	audit_adaptive_call_filter_switch.py tested 5,438 switch rules, with 5,270 nontrivial rules, 806 strict sample-safe switches, and 1,039 strict panel-safe switches in-sample. Best sample-safe switch is min_xny_ge_25 when max_xny_median >= 253, mean_delta_F1=+0.038640, mean_delta_L1_pp=-1.979829, mean_delta_Pearson=+0.001604, switched_samples=28. Leave-one-panel-out selected strict train-sample-safe rules for all four holdout panels, with mean_delta_F1=+0.012057, improved panels=2, worsened panels=0, and mean_delta_L1_pp=-0.595910. Decision=candidate_requires_raw_wrapper_validation; do not promote without independent holdout.
adaptive_call_filter_wrapper_option	scripts/minco_profile_calibrated.py --adaptive-call-filter-switch off|lopo-min-xny25. Default is off. lopo-min-xny25 applies the experimental rule: if median(max(s_XnY_ctx,u_XnY_ctx)) among current calls >=253, keep only called rows with min_positive(s_XnY_ctx,u_XnY_ctx) >=25.
adaptive_call_filter_wrapper_validation	run_adaptive_call_filter_wrapper_validation.sh and score_adaptive_call_filter_wrapper_validation.py replayed --adaptive-call-filter-switch lopo-min-xny25 on 10 cached-table profiles across Toy Mouse, HMP airskin, HMP gastrooral, and CAMI3 source-readmap panels. Switched profiles=6, removed rows=1, call-mask delta versus offline expected rows counts=0 and F1=1.11e-16. Expected candidate effect on this subset: delta F1 +0.000926, delta L1 -0.006534 pp, delta Pearson -0.000005. Decision=candidate_requires_independent_holdout_not_default.
adaptive_call_filter_external_exactsplit_rule	audit_adaptive_call_filter_external_exactsplit.py applies the same lopo-min-xny25 rule to cached current exact-split plant_holdout3-5 and strainmadness0-2 profiles. It uses bacteria-scope local scoring and validates the current-call baseline against the cached exactsplit_score.tsv files before interpreting candidate deltas.
adaptive_call_filter_external_exactsplit_result	External cached exact-split stress result: baseline validation counts=0, F1=5.55e-17, L1=2.22e-16, Pearson=2.22e-16; switched_samples=4, removed_rows=14; mean_delta_F1=-0.030282 with improved_datasets=0 and worsened_datasets=2. Plant mean F1 delta=-0.001388; strainmadness mean F1 delta=-0.059176. Decision=reject_adaptive_call_filter_as_default; current call gate remains default.
supervised_abundance_calibrator_audit	audit_supervised_abundance_calibrator.py tests leave-one-panel-out row-level abundance models using only numeric MinCO output features, across 5 model specs and 4 blend values. The best mean-L1 candidate is lopo_hgb_log_l2_1_blend0.75 with mean L1 delta -0.090593 pp, worsened panels 1, max worse +0.062803 pp, and mean Pearson delta +0.000712. The stricter all-panel-safe rf_log_leaf3 blend0.75 has a smaller mean L1 delta -0.052734 pp. Decision=candidate_requires_independent_holdout, so supervised abundance is not the default.
supervised_abundance_sample28_holdout	audit_supervised_abundance_sample28_holdout.py excludes HMP airskin sample28 from training and scores it as a post-hoc same-panel holdout. The predefined rf_log_leaf3 blend 0.75 candidate improves sample28 L1 from 18.352634 pp to 18.057211 pp with unchanged F1 0.888889 and Pearson delta +0.000346, but Sylph remains far better at L1 1.803063 pp; decision=candidate_requires_new_independent_dataset.
supervised_abundance_external_exactsplit	audit_supervised_abundance_external_exactsplit.py trains the predefined rf_log_leaf3 abundance model on the four-panel audit rows and applies blends 0.25, 0.5, and 0.75 without retuning to cached plant holdout3-5 and strainmadness0-2 exact-split profiles. F1 is unchanged for all blends, but strict_external_safe_blends=0. Blend 0.25 worsens plant L1 by +0.000126 and improves strainmadness by -0.000141; blend 0.75 has the best external mean delta (-0.000068) but still worsens plant by +0.001128 and improves strainmadness by -0.001264. Decision=reject_supervised_abundance_external_default.
cached_exactsplit_diagnostic	summarize_cached_exactsplit_diagnostics.py summarizes 15 cached exact-split score files under /tmp/minco_exactsplit_universal_20260626 into 5 comparable MinCO-vs-Sylph diagnostic datasets. Current exact-split MinCO has F1 wins/losses 3/2 and L1 wins/losses 2/3, so decision=diagnostic_only_not_release_grade.
abundance_genus_xny_blend_option	--abundance-genus-xny-blend-alpha is experimental; default 0.0 leaves the current calibrated abundance unchanged. Alpha 0.25 was wrapper-validated from cached tables under /tmp/minco_abundance_blend_validation_20260627 and rejected as default due to panel tradeoff.
edge_em_cross_domain_policy	Adaptive selected_group_species2 edge-EM from the 2026-06-24 cross-domain spot check improves L1 versus its own S2000 edge-marker beta=0 baseline on 2/3 spot samples and worsens none, mean delta -0.123827 pp with no F1 change. It is not promoted because it loses F1 versus Sylph on all three spot samples, mean delta -0.051425, and loses F1 versus current non-edge MinCO on CAMI3 and marine.
hmp_gastrooral_current_universal_result	CAMI II HMP gastrooral samples0/6 rescored with current universal table-mode outputs: MinCO current mean F1 0.861646, pooled F1 0.855422, L1 0.766191, Pearson 0.867024. This improves old calibrated train12 mean F1 0.779956 and unique-direct mean F1 0.832996, but Sylph remains better at mean F1 0.901587, L1 0.311628, Pearson 0.996839.
hmp_gastrooral_current_universal_metadata	Sample0 current table uses raw_unique_fallback=true with raw_unique_to_base_ratio 0.971429 and auto-exact unavailable in table mode due to missing ref/reads. Sample6 uses profile_strategy=universal-auto-exact, adaptive_mode=rescue, raw_unique_fallback=false, probability_extra_mass_ratio 0.310449, auto_exact_split_requested=false.
hmp_gastrooral_r232_source_abundance_result	CAMI II HMP gastrooral samples0/6 same-release chunked GTDB r232 source-abundance panel: MinCO current universal mean F1 0.919568, pooled F1 0.915663, L1 68.950069 pp, Pearson 0.858401; Sylph r232 mean F1 0.955300, pooled F1 0.957055, L1 5.063129 pp, Pearson 0.999125.
hmp_gastrooral_raw_default_result	CAMI II HMP gastrooral samples0/6 rerun from raw FASTQ with current scripts/minco_profile_default.py, GTDB r232 S1000, model cache, and -p16. MinCO raw default mean F1 0.919568, pooled F1 0.915663, L1 48.986991 pp, Pearson 0.882277; this improves L1 by -19.963078 pp versus the previous table-mode source-abundance output but still remains much worse than Sylph r232 L1 5.063129 pp and F1 0.955300.
hmp_gastrooral_raw_default_runtime	Sample0 raw default runtime 4:00.22 and 3.7958 GiB RSS; auto-exact requested and used rerun because probability_extra_mass_ratio=0.001699. Sample6 raw default runtime 2:03.11 and 3.3268 GiB RSS; auto-exact not requested, probability_extra_mass_ratio=0.310449.
hmp_gastrooral_r232_source_abundance_truth_quality	Sample0 maps 99.173554% source abundance to GTDB r232 species; sample6 maps 99.268532%. Both use source genome accession to GTDB metadata transfer and chunked r232 Sylph profiles, so the panel is release-grade GTDB source-abundance evidence.
hmp_gastrooral_r232_sylph_runtime	Chunked GTDB r232 Sylph profile from cached .sylsp: sample0 3:27.18 wall, 27.176812 GB RSS; sample6 1:58.40 wall, 27.169684 GB RSS.
toymouse_current_refresh	CAMI II Toy Mouse samples5-7 refreshed current-code wrapper: MinCO mean F1 0.893839, pooled F1 0.877647, L1 13.767837 pp, Pearson 0.987977; Sylph mean F1 0.952806, pooled F1 0.943894, L1 6.731523 pp, Pearson 0.994040.
hmp_same_release_resource_audit	Sylph binary exists at /home/ubuntu/yihuiguang/bin/sylph; chunked GTDB r232 Sylph DB list exists; HMP r232 profiles exist for samples6 and 11; same_release_ready=true for the HMP source-abundance scorer.
hmp_airskin_candidate_audit	audit_hmp_airskin_source_truth_candidates.py scans available CAMI II HMP airskin source-abundance truth tables and local cached inputs. Local FASTQ requires size >=1024 bytes to avoid counting empty gzip placeholders. After the 2026-06-27/29 restore/profile runs through omitted samples26/2/8 and prior HMP samples, 27 airskin samples have same-release r232 MinCO/Sylph outputs; samples12 and 27 remain without same-release outputs.
hmp_airskin28_same_release_result	Sample28 selected-source FASTQ was restored by streaming 25 BAMs from the CAMI II archive; restore runtime 6:41.46 and 11,264 kB RSS. Current MinCO universal-auto-exact sample28 runtime 1:39.98 and 3,506,992 kB RSS; Sylph r232 chunked profile runtime 2:07.01 and 27,164,692 kB RSS. In GTDB r232 source-abundance scoring, MinCO F1=0.888889, L1=18.352634 pp, Pearson=0.989034; Sylph F1=0.923077, L1=1.803063 pp, Pearson=0.999933.
