check	value	status	evidence
cross_panel_abundance_variant_sweep_matches_official_current_scores	max_abs_delta=9.95e-14	pass	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_abundance_variant_validation.tsv
cross_panel_abundance_no_promotable_variant	promotable_count=6	panel_mean_candidate_requires_sample_safety_and_raw_validation	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_abundance_variant_overall.tsv
cross_panel_abundance_best_mean_l1_variant_is_tradeoff	genus_realloc_xny: mean_delta=-0.7152028262887984; max_worse=1.2189139667692803; worsened=1	documented_tradeoff	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_abundance_variant_overall.tsv
abundance_variant_safety_no_strict_fixed_call_replacement	strict_sample=0;strict_panel=6	pass	research/experiments/2026-06-27_universal_strategy_decision/results/abundance_variant_safety_audit.tsv
abundance_oracle_bounds_fixed_calls_not_sufficient_all_panels	allocation_model_can_close_some_not_all_sylph_gap;beats_sylph_panels=2/4;validation=5.684341886080802e-14	pass	research/experiments/2026-06-27_universal_strategy_decision/results/abundance_oracle_bounds_audit.tsv
missed_truth_candidate_audit_is_diagnostic_only	visibility=9/19;surface_samples=9;decision=diagnostic_only_not_default	pass	research/experiments/2026-06-27_universal_strategy_decision/results/missed_truth_candidate_audit.tsv
hmp_profile_absent_misses_visible_in_raw_tables	visibility=10/10;decision=diagnostic_only_not_default	pass	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_missed_truth_raw_table_audit.tsv
hmp_raw_candidate_rescue_sweep_not_default	diagnostic_only_not_default;best=raw_rescue_ani0.9_xny100_br0.05_af0.7_zero_rescue_mass;mean_delta_F1=0.007757430082350909;mean_delta_L1=0.0;TP_delta=13.0;FP_delta=1.0;FN_delta=-13.0	pass	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_raw_candidate_rescue_audit.tsv
cross_panel_candidate_rescue_requires_wrapper_validation	diagnostic_only_not_default;best=cross_rescue_ani0.9_xny100_br0.01_af0.7_zero_mass;mean_delta_F1=0.007318855410098409;TP_delta=19.0;FP_delta=1.0;FN_delta=-19.0;validation=7.673861546209082e-13;wrapper=historical_zero_mass_validation_not_final_preset;F1=0.006471;L1_pp=-0.061420;Pearson=0.001163;zero_mass_violations=0	pass	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_rescue_audit.tsv;research/experiments/2026-06-27_universal_strategy_decision/results/candidate_rescue_wrapper_validation_audit.tsv
adaptive_abundance_switch_rejected_by_lopo	reject_as_overfit_by_leave_one_panel_out	pass	research/experiments/2026-06-27_universal_strategy_decision/results/adaptive_abundance_switch_audit.tsv
adaptive_call_filter_switch_candidate_not_default	candidate_requires_raw_wrapper_validation	pass	research/experiments/2026-06-27_universal_strategy_decision/results/adaptive_call_filter_switch_audit.tsv
adaptive_call_filter_wrapper_matches_expected_call_mask	counts=0;F1=1.11e-16	pass	research/experiments/2026-06-27_universal_strategy_decision/results/adaptive_call_filter_wrapper_validation_audit.tsv
adaptive_call_filter_external_exactsplit_rejected_as_default	reject_adaptive_call_filter_as_default	pass	research/experiments/2026-06-27_universal_strategy_decision/results/adaptive_call_filter_external_exactsplit_audit.tsv
supervised_abundance_calibrator_not_default	candidate_requires_independent_holdout	pass	research/experiments/2026-06-27_universal_strategy_decision/results/supervised_abundance_calibrator_audit.tsv
supervised_abundance_sample28_holdout_not_default	candidate_requires_new_independent_dataset	pass	research/experiments/2026-06-27_universal_strategy_decision/results/supervised_abundance_sample28_holdout_audit.tsv
supervised_abundance_external_exactsplit_rejected_as_default	reject_supervised_abundance_external_default	pass	research/experiments/2026-06-27_universal_strategy_decision/results/supervised_abundance_external_exactsplit_audit.tsv
cached_exactsplit_diagnostic_audited	diagnostic_only_not_release_grade	pass	research/experiments/2026-06-27_universal_strategy_decision/results/cached_exactsplit_diagnostic_audit.tsv
edge_em_adaptive_improves_edge_marker_L1_without_F1_cost	mean_delta_L1=-0.123826970396;L1 improved/unchanged/worsened=2/1/0;F1 worsened=0	pass	research/experiments/2026-06-27_universal_strategy_decision/results/edge_em_cross_domain_policy_summary.tsv
edge_em_adaptive_beats_sylph_F1_on_cross_domain_spots	mean_delta_F1=-0.0514250837048;F1 improved/unchanged/worsened=0/0/3	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/edge_em_cross_domain_policy_summary.tsv
edge_em_default_not_promoted	vs_current_best_F1_worsened=2;vs_sylph_F1_worsened=3	pass	research/experiments/2026-06-27_universal_strategy_decision/results/edge_em_cross_domain_policy_summary.tsv
cami3_abundance_L1_beats_sylph	0.6544471762755544 < 0.4711466916495253	known_gap	research/experiments/2026-06-26_cami2_hmp_unseen_transfer/results/default_strategy_readiness.tsv
reported_ani_beats_raw_emitted_ani_on_toymouse_mae	0.006770712573 < 0.025912515650	pass	research/experiments/2026-06-25_minco_vs_mashscreen_toymouse/ani_accuracy_summary.tsv
reported_ani_close_to_sylph_on_cami3_source_ref_mae	0.00762666463414634 <= 0.008038181818181826	pass	research/experiments/2026-06-23_cami3_source_ref_ani_accuracy/alternative_read_ani_summary.tsv
reported_ani_beats_sylph_on_toymouse_source_rep_mae	0.006770712573 <= 0.003861670485	known_gap	research/experiments/2026-06-25_minco_vs_mashscreen_toymouse/ani_accuracy_summary.tsv
cami3_gtdb_transfer_F1_beats_sylph	0.7013292819397322 > 0.4042283257908639	pass	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_gtdb_taxid_transfer_summary.tsv
cami3_gtdb_transfer_truth_quality_release_grade	mean mapped truth mass pct all=13.4968	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_gtdb_taxid_transfer_quality.tsv
cami3_source_readmap_F1_beats_sylph	0.8159567931704953 > 0.7415214328232254	pass	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_gtdb_source_readmap_summary.tsv
cami3_source_readmap_abundance_L1_beats_sylph	62.7320290334245 < 32.63284073098532	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_gtdb_source_readmap_summary.tsv
cami3_source_readmap_truth_quality_release_grade	mean mapped read rows pct=81.2684	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_gtdb_source_readmap_quality.tsv
hmp_source_abundance_truth_quality_diagnostic	mean mapped truth abundance pct=98.4661	pass	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_quality.tsv
hmp_source_abundance_F1_beats_sylph	0.9610576923076923 > 0.9705882352941176	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_summary.tsv
hmp_source_abundance_L1_beats_sylph	22.780570236553878 < 5.133659105526774	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_summary.tsv
hmp_source_abundance_3sample_F1_beats_sylph	0.9370014245014245 > 0.9547511312217195	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_3sample_summary.tsv
hmp_source_abundance_3sample_L1_beats_sylph	21.304591335405078 < 4.023460544452763	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_3sample_summary.tsv
hmp_airskin22_source_abundance_F1_beats_sylph	0.6440677966101696 > 0.909090909090909	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin22_r232_source_abundance_summary.tsv
hmp_airskin22_source_abundance_L1_beats_sylph	20.648590840357787 < 6.04369201147041	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin22_r232_source_abundance_summary.tsv
hmp_airskin5_source_abundance_F1_beats_sylph	0.9615384615384616 > 0.9433962264150944	pass	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin5_r232_source_abundance_summary.tsv
hmp_airskin5_source_abundance_L1_beats_sylph	10.337735604597068 < 5.965327211488664	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin5_r232_source_abundance_summary.tsv
hmp_airskin0_source_abundance_F1_beats_sylph	0.8405797101449276 > 0.9032258064516129	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin0_r232_source_abundance_summary.tsv
hmp_airskin0_source_abundance_L1_beats_sylph	18.780365281635657 < 2.510443972648263	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin0_r232_source_abundance_summary.tsv
hmp_airskin1_source_abundance_F1_beats_sylph	0.6799999999999999 > 0.9902912621359222	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin1_r232_source_abundance_summary.tsv
hmp_airskin1_source_abundance_L1_beats_sylph	18.10588369009214 < 2.17840634484384	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin1_r232_source_abundance_summary.tsv
hmp_airskin3_source_abundance_F1_beats_sylph	0.9574468085106385 > 0.989247311827957	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin3_r232_source_abundance_summary.tsv
hmp_airskin3_source_abundance_L1_beats_sylph	12.670666989685742 < 2.96192949947574	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin3_r232_source_abundance_summary.tsv
hmp_airskin4_source_abundance_F1_beats_sylph	0.8395061728395061 > 0.9719626168224299	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin4_r232_source_abundance_summary.tsv
hmp_airskin4_source_abundance_L1_beats_sylph	28.72674092295887 < 4.592947589588322	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin4_r232_source_abundance_summary.tsv
hmp_airskin23_source_abundance_F1_beats_sylph	0.8985507246376813 > 0.9696969696969697	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin23_r232_source_abundance_summary.tsv
hmp_airskin23_source_abundance_L1_beats_sylph	28.41923191911534 < 20.89561106604513	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin23_r232_source_abundance_summary.tsv
hmp_airskin20_source_abundance_F1_beats_sylph	0.8216216216216216 > 0.9681528662420382	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin20_r232_source_abundance_summary.tsv
hmp_airskin20_source_abundance_L1_beats_sylph	25.95298635905384 < 4.085099397500308	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin20_r232_source_abundance_summary.tsv
hmp_airskin7_source_abundance_F1_beats_sylph	0.8414634146341463 > 0.9605263157894737	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin7_r232_source_abundance_summary.tsv
hmp_airskin7_source_abundance_L1_beats_sylph	27.609399687247855 < 5.205718359122242	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin7_r232_source_abundance_summary.tsv
hmp_airskin9_source_abundance_F1_beats_sylph	0.9292929292929293 > 0.9738219895287958	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin9_r232_source_abundance_summary.tsv
hmp_airskin9_source_abundance_L1_beats_sylph	31.526930250244316 < 7.687184035527627	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin9_r232_source_abundance_summary.tsv
hmp_airskin10_source_abundance_F1_beats_sylph	0.9130434782608695 > 0.9411764705882353	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin10_r232_source_abundance_summary.tsv
hmp_airskin10_source_abundance_L1_beats_sylph	20.729208359157024 < 11.17273797413609	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin10_r232_source_abundance_summary.tsv
hmp_airskin19_source_abundance_F1_beats_sylph	0.8062015503875969 > 0.9683257918552037	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin19_r232_source_abundance_summary.tsv
hmp_airskin19_source_abundance_L1_beats_sylph	37.17374040767086 < 13.049354419407495	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin19_r232_source_abundance_summary.tsv
hmp_airskin14_source_abundance_F1_beats_sylph	0.8620689655172413 > 0.9491525423728813	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin14_r232_source_abundance_summary.tsv
hmp_airskin14_source_abundance_L1_beats_sylph	14.82416797226076 < 4.072864305846134	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin14_r232_source_abundance_summary.tsv
hmp_source_abundance_4sample_F1_beats_sylph	0.8637680175286108 > 0.9433360756890168	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample22_6_11_28_summary.tsv
hmp_source_abundance_4sample_L1_beats_sylph	21.140591211643255 < 4.528518411207173	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample22_6_11_28_summary.tsv
hmp_source_abundance_5sample_F1_beats_sylph	0.8833221063305811 > 0.9433481058342323	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample5_6_11_22_28_summary.tsv
hmp_source_abundance_5sample_L1_beats_sylph	18.980020090234017 < 4.815880171263472	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample5_6_11_22_28_summary.tsv
hmp_source_abundance_6sample_F1_beats_sylph	0.8761983736329721 > 0.9366610559371291	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample0_5_6_11_22_28_summary.tsv
hmp_source_abundance_6sample_L1_beats_sylph	18.946744288800957 < 4.4316408048276035	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample0_5_6_11_22_28_summary.tsv
hmp_airskin13_source_abundance_F1_beats_sylph	0.925 > 0.9876543209876543	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin13_r232_source_abundance_summary.tsv
hmp_airskin13_source_abundance_L1_beats_sylph	54.74798404447627 < 8.344358782582221	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin13_r232_source_abundance_summary.tsv
hmp_airskin15_source_abundance_F1_beats_sylph	0.9130434782608695 > 0.9387755102040817	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin15_r232_source_abundance_summary.tsv
hmp_airskin15_source_abundance_L1_beats_sylph	8.8962798747502 < 0.9784642891169845	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin15_r232_source_abundance_summary.tsv
hmp_airskin16_source_abundance_F1_beats_sylph	1.0 > 1.0	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin16_r232_source_abundance_summary.tsv
hmp_airskin16_source_abundance_L1_beats_sylph	6.914589514693733 < 1.288588517294444	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin16_r232_source_abundance_summary.tsv
hmp_airskin17_source_abundance_F1_beats_sylph	0.773109243697479 > 0.9787234042553191	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin17_r232_source_abundance_summary.tsv
hmp_airskin17_source_abundance_L1_beats_sylph	26.525180643112705 < 1.8725768878823958	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin17_r232_source_abundance_summary.tsv
hmp_airskin18_source_abundance_F1_beats_sylph	0.9433962264150944 > 1.0	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin18_r232_source_abundance_summary.tsv
hmp_airskin18_source_abundance_L1_beats_sylph	12.023034824053608 < 1.8827650603233312	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin18_r232_source_abundance_summary.tsv
hmp_airskin21_source_abundance_F1_beats_sylph	0.8800000000000001 > 0.9705882352941176	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin21_r232_source_abundance_summary.tsv
hmp_airskin21_source_abundance_L1_beats_sylph	34.74496714676101 < 2.197983021433104	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin21_r232_source_abundance_summary.tsv
hmp_airskin24_source_abundance_F1_beats_sylph	0.9090909090909091 > 0.9152542372881356	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin24_r232_source_abundance_summary.tsv
hmp_airskin24_source_abundance_L1_beats_sylph	13.776347378834844 < 4.668798630764398	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin24_r232_source_abundance_summary.tsv
hmp_airskin25_source_abundance_F1_beats_sylph	0.72 > 0.9690721649484536	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin25_r232_source_abundance_summary.tsv
hmp_airskin25_source_abundance_L1_beats_sylph	23.876829864906867 < 4.836648420574486	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin25_r232_source_abundance_summary.tsv
hmp_source_abundance_7sample_F1_beats_sylph	0.8767414631139762 > 0.9415077958452703	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample21_0_5_6_11_22_28_summary.tsv
hmp_source_abundance_7sample_L1_beats_sylph	21.203633268509538 < 4.112546835771246	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample21_0_5_6_11_22_28_summary.tsv
hmp_source_abundance_8sample_F1_beats_sylph	0.8850733085266158 > 0.9488193213646114	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample18_21_0_5_6_11_22_28_summary.tsv
hmp_source_abundance_8sample_L1_beats_sylph	20.056058462952546 < 3.8338241138402576	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample18_21_0_5_6_11_22_28_summary.tsv
hmp_source_abundance_9sample_F1_beats_sylph	0.8895096075792142 > 0.9531343213227275	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample13_0_5_6_11_18_21_22_28_summary.tsv
hmp_source_abundance_9sample_L1_beats_sylph	23.910716860899626 < 4.334994632589364	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample13_0_5_6_11_18_21_22_28_summary.tsv
hmp_source_abundance_10sample_F1_beats_sylph	0.8725586468212926 > 0.9547281056853001	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample25_0_5_6_11_13_18_21_22_28_summary.tsv
hmp_source_abundance_10sample_L1_beats_sylph	23.907328161300352 < 4.385160011387876	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample25_0_5_6_11_13_18_21_22_28_summary.tsv
hmp_source_abundance_11sample_F1_beats_sylph	0.8802757524294151 > 0.9578662153346325	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample3_0_5_6_11_13_18_21_22_25_28_summary.tsv
hmp_source_abundance_11sample_L1_beats_sylph	22.885813509335385 < 4.255775419395864	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample3_0_5_6_11_13_18_21_22_25_28_summary.tsv
hmp_source_abundance_12sample_F1_beats_sylph	0.8635861063936305 > 0.9605683025680732	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample1_0_3_5_6_11_13_18_21_22_25_28_summary.tsv
hmp_source_abundance_12sample_L1_beats_sylph	22.48748602439845 < 4.082661329849862	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample1_0_3_5_6_11_13_18_21_22_25_28_summary.tsv
hmp_source_abundance_13sample_F1_beats_sylph	0.8566263477246958 > 0.9619648488517076	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample17_0_1_3_5_6_11_13_18_21_22_25_28_summary.tsv
hmp_source_abundance_13sample_L1_beats_sylph	22.798077918145697 < 3.9126548343139027	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample17_0_1_3_5_6_11_13_18_21_22_25_28_summary.tsv
hmp_source_abundance_14sample_F1_beats_sylph	0.860373816393711 > 0.9586283765971667	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample24_0_1_3_5_6_11_13_17_18_21_22_25_28_summary.tsv
hmp_source_abundance_14sample_L1_beats_sylph	22.153668593909206 < 3.9666651054889384	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample24_0_1_3_5_6_11_13_17_18_21_22_25_28_summary.tsv
hmp_source_abundance_15sample_F1_beats_sylph	0.8696822286341302 > 0.9613864848240222	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample16_0_1_3_5_6_11_13_17_18_21_22_24_25_28_summary.tsv
hmp_source_abundance_15sample_L1_beats_sylph	21.137729988628173 < 3.7881266662759723	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample16_0_1_3_5_6_11_13_17_18_21_22_24_25_28_summary.tsv
hmp_source_abundance_16sample_F1_beats_sylph	0.8723923067358015 > 0.959973298910276	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample15_0_1_3_5_6_11_13_16_17_18_21_22_24_25_28_summary.tsv
hmp_source_abundance_16sample_L1_beats_sylph	20.372639356510803 < 3.6125227677035356	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample15_0_1_3_5_6_11_13_16_17_18_21_22_24_25_28_summary.tsv
hmp_source_abundance_17sample_F1_beats_sylph	0.8704578282713136 > 0.9606785529051085	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample4_0_1_3_5_6_11_13_15_16_17_18_21_22_24_25_28_summary.tsv
hmp_source_abundance_17sample_L1_beats_sylph	20.864057095713633 < 3.6701948160496993	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample4_0_1_3_5_6_11_13_15_16_17_18_21_22_24_25_28_summary.tsv
hmp_source_abundance_18sample_F1_beats_sylph	0.8720185447361117 > 0.961179576060212	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample23_0_1_3_4_5_6_11_13_15_16_17_18_21_22_24_25_28_summary.tsv
hmp_source_abundance_18sample_L1_beats_sylph	21.28378903034706 < 4.62716238549389	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample23_0_1_3_4_5_6_11_13_15_16_17_18_21_22_24_25_28_summary.tsv
hmp_source_abundance_19sample_F1_beats_sylph	0.8693660750985068 > 0.9615465913329396	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample20_0_1_3_4_5_6_11_13_15_16_17_18_21_22_23_24_25_28_summary.tsv
hmp_source_abundance_19sample_L1_beats_sylph	21.52953625817373 < 4.59863275454686	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample20_0_1_3_4_5_6_11_13_15_16_17_18_21_22_23_24_25_28_summary.tsv
hmp_source_abundance_20sample_F1_beats_sylph	0.8679709420752889 > 0.9614955775557663	contradicts_broad_sylph_beating_claim	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample7_0_1_3_4_5_6_11_13_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
hmp_source_abundance_20sample_L1_beats_sylph	21.83352942962744 < 4.628987034775629	known_gap	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample7_0_1_3_4_5_6_11_13_15_16_17_18_20_21_22_23_24_25_28_summary.tsv
